Periodo,Caso,Trabajadores contratados,Trabajadores por boleta,Total trabajadores,Horas disponibles,Horas utilizadas,% Utilización
1,Base,2,2,4,32.00,32.00,100.00
1,Falla,2,2,4,32.00,32.00,100.00
2,Base,2,1,3,24.00,24.00,100.00
2,Falla,2,2,4,32.00,32.00,100.00
3,Base,2,2,4,32.00,32.00,100.00
3,Falla,2,3,5,40.00,40.00,100.00
4,Base,2,0,2,16.00,16.00,100.00
4,Falla,2,0,2,16.00,16.00,100.00
5,Base,2,0,2,16.00,16.00,100.00
5,Falla,2,0,2,16.00,16.00,100.00
Total,Base,10,5,15,120.00,120.00,100.00
Total,Falla,10,7,17,136.00,136.00,100.00
